Date,Platform,Cumulative,Users
2022-01-10,Discord,0,0
2022-01-17,Discord,0,0
2022-01-24,Discord,0,0
2022-01-31,Discord,0,0
2022-02-07,Discord,0,0
2022-02-14,Discord,0,0
2022-02-21,Discord,1,1
2022-02-28,Discord,3,2
2022-03-07,Discord,5,2
2022-03-14,Discord,7,2
2022-03-21,Discord,13,6
2022-03-28,Discord,21,8
2022-04-04,Discord,51,30
2022-04-11,Discord,80,29
2022-04-18,Discord,110,30
2022-04-25,Discord,150,40
2022-05-02,Discord,194,44
2022-05-09,Discord,239,45
2022-05-16,Discord,297,58
2022-05-23,Discord,343,46
2022-05-30,Discord,386,43
2022-06-06,Discord,459,73
2022-06-13,Discord,539,80
2022-06-20,Discord,622,83
2022-06-27,Discord,684,62
2022-07-04,Discord,725,41
2022-07-11,Discord,773,48
2022-07-18,Discord,825,52
2022-07-25,Discord,883,58
2022-08-01,Discord,967,84
2022-08-08,Discord,1135,168
2022-08-15,Discord,1268,133
2022-08-22,Discord,1398,130
2022-08-29,Discord,1548,150
2022-09-05,Discord,1798,250
2022-09-12,Discord,2108,310
2022-09-19,Discord,2530,422
2022-09-26,Discord,3039,509
2022-10-03,Discord,3576,537
2022-10-10,Discord,4378,802
2022-10-17,Discord,5138,760
2022-10-24,Discord,6277,1139
2022-10-31,Discord,7120,843
2022-11-07,Discord,7836,716
2022-11-14,Discord,8733,897
2022-11-21,Discord,9580,847
2022-11-28,Discord,10428,848
2022-12-05,Discord,11283,855
2022-12-12,Discord,12177,894
2022-12-19,Discord,13080,903
2022-12-26,Discord,14267,1187
2023-01-02,Discord,15719,1452
2023-01-09,Discord,16615,896
2022-01-10,Facebook,0,0
2022-01-17,Facebook,21,21
2022-01-24,Facebook,45,24
2022-01-31,Facebook,74,29
2022-02-07,Facebook,108,34
2022-02-14,Facebook,145,37
2022-02-21,Facebook,191,46
2022-02-28,Facebook,230,39
2022-03-07,Facebook,258,28
2022-03-14,Facebook,279,21
2022-03-21,Facebook,311,32
2022-03-28,Facebook,328,17
2022-04-04,Facebook,358,30
2022-04-11,Facebook,375,17
2022-04-18,Facebook,398,23
2022-04-25,Facebook,439,41
2022-05-02,Facebook,463,24
2022-05-09,Facebook,488,25
2022-05-16,Facebook,520,32
2022-05-23,Facebook,555,35
2022-05-30,Facebook,592,37
2022-06-06,Facebook,621,29
2022-06-13,Facebook,655,34
2022-06-20,Facebook,693,38
2022-06-27,Facebook,725,32
2022-07-04,Facebook,759,34
2022-07-11,Facebook,814,55
2022-07-18,Facebook,840,26
2022-07-25,Facebook,868,28
2022-08-01,Facebook,886,18
2022-08-08,Facebook,909,23
2022-08-15,Facebook,928,19
2022-08-22,Facebook,936,8
2022-08-29,Facebook,950,14
2022-09-05,Facebook,960,10
2022-09-12,Facebook,978,18
2022-09-19,Facebook,992,14
2022-09-26,Facebook,1010,18
2022-10-03,Facebook,1026,16
2022-10-10,Facebook,1040,14
2022-10-17,Facebook,1053,13
2022-10-24,Facebook,1069,16
2022-10-31,Facebook,1081,12
2022-11-07,Facebook,1092,11
2022-11-14,Facebook,1103,11
2022-11-21,Facebook,1117,14
2022-11-28,Facebook,1129,12
2022-12-05,Facebook,1145,16
2022-12-12,Facebook,1155,10
2022-12-19,Facebook,1168,13
2022-12-26,Facebook,1182,14
2023-01-02,Facebook,1196,14
2023-01-09,Facebook,1208,12
2022-01-10,Tumblr,0,0
2022-01-17,Tumblr,293,293
2022-01-24,Tumblr,592,299
2022-01-31,Tumblr,900,308
2022-02-07,Tumblr,1242,342
2022-02-14,Tumblr,1570,328
2022-02-21,Tumblr,1908,338
2022-02-28,Tumblr,2868,960
2022-03-07,Tumblr,4050,1182
2022-03-14,Tumblr,5373,1323
2022-03-21,Tumblr,6742,1369
2022-03-28,Tumblr,8097,1355
2022-04-04,Tumblr,9386,1289
2022-04-11,Tumblr,10731,1345
2022-04-18,Tumblr,12051,1320
2022-04-25,Tumblr,13510,1459
2022-05-02,Tumblr,14834,1324
2022-05-09,Tumblr,15999,1165
2022-05-16,Tumblr,17222,1223
2022-05-23,Tumblr,18423,1201
2022-05-30,Tumblr,19636,1213
2022-06-06,Tumblr,20856,1220
2022-06-13,Tumblr,22077,1221
2022-06-20,Tumblr,23198,1121
2022-06-27,Tumblr,24374,1176
2022-07-04,Tumblr,25456,1082
2022-07-11,Tumblr,26475,1019
2022-07-18,Tumblr,27509,1034
2022-07-25,Tumblr,28532,1023
2022-08-01,Tumblr,29629,1097
2022-08-08,Tumblr,31006,1377
2022-08-15,Tumblr,32211,1205
2022-08-22,Tumblr,33301,1090
2022-08-29,Tumblr,34266,965
2022-09-05,Tumblr,35179,913
2022-09-12,Tumblr,36284,1105
2022-09-19,Tumblr,37609,1325
2022-09-26,Tumblr,38945,1336
2022-10-03,Tumblr,40281,1336
2022-10-10,Tumblr,41698,1417
2022-10-17,Tumblr,43112,1414
2022-10-24,Tumblr,44610,1498
2022-10-31,Tumblr,46148,1538
2022-11-07,Tumblr,47904,1756
2022-11-14,Tumblr,49693,1789
2022-11-21,Tumblr,51276,1583
2022-11-28,Tumblr,52794,1518
2022-12-05,Tumblr,54307,1513
2022-12-12,Tumblr,55872,1565
2022-12-19,Tumblr,57446,1574
2022-12-26,Tumblr,61368,3922
2023-01-02,Tumblr,64703,3335
2023-01-09,Tumblr,67152,2449
2022-01-10,(None),0,0
2022-01-17,(None),263,263
2022-01-24,(None),542,279
2022-01-31,(None),805,263
2022-02-07,(None),1055,250
2022-02-14,(None),1301,246
2022-02-21,(None),1545,244
2022-02-28,(None),1772,227
2022-03-07,(None),1970,198
2022-03-14,(None),2185,215
2022-03-21,(None),2395,210
2022-03-28,(None),2576,181
2022-04-04,(None),2734,158
2022-04-11,(None),2891,157
2022-04-18,(None),3059,168
2022-04-25,(None),3225,166
2022-05-02,(None),3384,159
2022-05-09,(None),3530,146
2022-05-16,(None),3676,146
2022-05-23,(None),3811,135
2022-05-30,(None),3974,163
2022-06-06,(None),4131,157
2022-06-13,(None),4274,143
2022-06-20,(None),4408,134
2022-06-27,(None),4529,121
2022-07-04,(None),4633,104
2022-07-11,(None),4728,95
2022-07-18,(None),4843,115
2022-07-25,(None),4944,101
2022-08-01,(None),5056,112
2022-08-08,(None),5192,136
2022-08-15,(None),5313,121
2022-08-22,(None),5422,109
2022-08-29,(None),5530,108
2022-09-05,(None),5647,117
2022-09-12,(None),5753,106
2022-09-19,(None),5855,102
2022-09-26,(None),5946,91
2022-10-03,(None),6022,76
2022-10-10,(None),6111,89
2022-10-17,(None),6197,86
2022-10-24,(None),6305,108
2022-10-31,(None),6393,88
2022-11-07,(None),6474,81
2022-11-14,(None),6567,93
2022-11-21,(None),6655,88
2022-11-28,(None),6745,90
2022-12-05,(None),6837,92
2022-12-12,(None),6930,93
2022-12-19,(None),7017,87
2022-12-26,(None),7097,80
2023-01-02,(None),7192,95
2023-01-09,(None),7281,89
2022-01-10,Telegram,0,0
2022-01-17,Telegram,6,6
2022-01-24,Telegram,21,15
2022-01-31,Telegram,42,21
2022-02-07,Telegram,61,19
2022-02-14,Telegram,80,19
2022-02-21,Telegram,101,21
2022-02-28,Telegram,120,19
2022-03-07,Telegram,132,12
2022-03-14,Telegram,166,34
2022-03-21,Telegram,191,25
2022-03-28,Telegram,211,20
2022-04-04,Telegram,240,29
2022-04-11,Telegram,266,26
2022-04-18,Telegram,292,26
2022-04-25,Telegram,328,36
2022-05-02,Telegram,355,27
2022-05-09,Telegram,377,22
2022-05-16,Telegram,395,18
2022-05-23,Telegram,424,29
2022-05-30,Telegram,453,29
2022-06-06,Telegram,482,29
2022-06-13,Telegram,502,20
2022-06-20,Telegram,531,29
2022-06-27,Telegram,551,20
2022-07-04,Telegram,572,21
2022-07-11,Telegram,594,22
2022-07-18,Telegram,612,18
2022-07-25,Telegram,625,13
2022-08-01,Telegram,641,16
2022-08-08,Telegram,663,22
2022-08-15,Telegram,685,22
2022-08-22,Telegram,703,18
2022-08-29,Telegram,722,19
2022-09-05,Telegram,736,14
2022-09-12,Telegram,759,23
2022-09-19,Telegram,780,21
2022-09-26,Telegram,806,26
2022-10-03,Telegram,825,19
2022-10-10,Telegram,841,16
2022-10-17,Telegram,858,17
2022-10-24,Telegram,876,18
2022-10-31,Telegram,895,19
2022-11-07,Telegram,912,17
2022-11-14,Telegram,925,13
2022-11-21,Telegram,949,24
2022-11-28,Telegram,971,22
2022-12-05,Telegram,996,25
2022-12-12,Telegram,1028,32
2022-12-19,Telegram,1050,22
2022-12-26,Telegram,1067,17
2023-01-02,Telegram,1109,42
2023-01-09,Telegram,1183,74
2022-01-10,Bot_API,0,0
2022-01-17,Bot_API,0,0
2022-01-24,Bot_API,0,0
2022-01-31,Bot_API,0,0
2022-02-07,Bot_API,0,0
2022-02-14,Bot_API,0,0
2022-02-21,Bot_API,0,0
2022-02-28,Bot_API,0,0
2022-03-07,Bot_API,0,0
2022-03-14,Bot_API,0,0
2022-03-21,Bot_API,0,0
2022-03-28,Bot_API,0,0
2022-04-04,Bot_API,0,0
2022-04-11,Bot_API,0,0
2022-04-18,Bot_API,0,0
2022-04-25,Bot_API,0,0
2022-05-02,Bot_API,0,0
2022-05-09,Bot_API,0,0
2022-05-16,Bot_API,0,0
2022-05-23,Bot_API,0,0
2022-05-30,Bot_API,0,0
2022-06-06,Bot_API,0,0
2022-06-13,Bot_API,0,0
2022-06-20,Bot_API,0,0
2022-06-27,Bot_API,0,0
2022-07-04,Bot_API,0,0
2022-07-11,Bot_API,0,0
2022-07-18,Bot_API,0,0
2022-07-25,Bot_API,0,0
2022-08-01,Bot_API,0,0
2022-08-08,Bot_API,0,0
2022-08-15,Bot_API,0,0
2022-08-22,Bot_API,0,0
2022-08-29,Bot_API,0,0
2022-09-05,Bot_API,0,0
2022-09-12,Bot_API,0,0
2022-09-19,Bot_API,125,125
2022-09-26,Bot_API,229,104
2022-10-03,Bot_API,338,109
2022-10-10,Bot_API,425,87
2022-10-17,Bot_API,583,158
2022-10-24,Bot_API,758,175
2022-10-31,Bot_API,828,70
2022-11-07,Bot_API,870,42
2022-11-14,Bot_API,911,41
2022-11-21,Bot_API,952,41
2022-11-28,Bot_API,976,24
2022-12-05,Bot_API,1008,32
2022-12-12,Bot_API,1026,18
2022-12-19,Bot_API,1048,22
2022-12-26,Bot_API,1075,27
2023-01-02,Bot_API,1114,39
2023-01-09,Bot_API,1138,24
2022-01-10,Kik,0,0
2022-01-17,Kik,4,4
2022-01-24,Kik,9,5
2022-01-31,Kik,14,5
2022-02-07,Kik,18,4
2022-02-14,Kik,24,6
2022-02-21,Kik,33,9
2022-02-28,Kik,37,4
2022-03-07,Kik,39,2
2022-03-14,Kik,43,4
2022-03-21,Kik,45,2
2022-03-28,Kik,45,0
2022-04-04,Kik,45,0
2022-04-11,Kik,45,0
2022-04-18,Kik,45,0
2022-04-25,Kik,45,0
2022-05-02,Kik,45,0
2022-05-09,Kik,45,0
2022-05-16,Kik,45,0
2022-05-23,Kik,45,0
2022-05-30,Kik,45,0
2022-06-06,Kik,45,0
2022-06-13,Kik,45,0
2022-06-20,Kik,45,0
2022-06-27,Kik,45,0
2022-07-04,Kik,45,0
2022-07-11,Kik,45,0
2022-07-18,Kik,45,0
2022-07-25,Kik,45,0
2022-08-01,Kik,45,0
2022-08-08,Kik,45,0
2022-08-15,Kik,45,0
2022-08-22,Kik,45,0
2022-08-29,Kik,45,0
2022-09-05,Kik,45,0
2022-09-12,Kik,45,0
2022-09-19,Kik,45,0
2022-09-26,Kik,45,0
2022-10-03,Kik,45,0
2022-10-10,Kik,45,0
2022-10-17,Kik,45,0
2022-10-24,Kik,45,0
2022-10-31,Kik,45,0
2022-11-07,Kik,45,0
2022-11-14,Kik,45,0
2022-11-21,Kik,45,0
2022-11-28,Kik,45,0
2022-12-05,Kik,45,0
2022-12-12,Kik,45,0
2022-12-19,Kik,45,0
2022-12-26,Kik,45,0
2023-01-02,Kik,45,0
2023-01-09,Kik,45,0
2022-01-10,SMS,0,0
2022-01-17,SMS,0,0
2022-01-24,SMS,0,0
2022-01-31,SMS,0,0
2022-02-07,SMS,0,0
2022-02-14,SMS,0,0
2022-02-21,SMS,0,0
2022-02-28,SMS,0,0
2022-03-07,SMS,1,1
2022-03-14,SMS,2,1
2022-03-21,SMS,2,0
2022-03-28,SMS,2,0
2022-04-04,SMS,2,0
2022-04-11,SMS,2,0
2022-04-18,SMS,2,0
2022-04-25,SMS,2,0
2022-05-02,SMS,2,0
2022-05-09,SMS,2,0
2022-05-16,SMS,3,1
2022-05-23,SMS,4,1
2022-05-30,SMS,4,0
2022-06-06,SMS,4,0
2022-06-13,SMS,4,0
2022-06-20,SMS,4,0
2022-06-27,SMS,4,0
2022-07-04,SMS,4,0
2022-07-11,SMS,4,0
2022-07-18,SMS,4,0
2022-07-25,SMS,4,0
2022-08-01,SMS,4,0
2022-08-08,SMS,4,0
2022-08-15,SMS,4,0
2022-08-22,SMS,5,1
2022-08-29,SMS,5,0
2022-09-05,SMS,5,0
2022-09-12,SMS,5,0
2022-09-19,SMS,5,0
2022-09-26,SMS,5,0
2022-10-03,SMS,5,0
2022-10-10,SMS,5,0
2022-10-17,SMS,5,0
2022-10-24,SMS,5,0
2022-10-31,SMS,5,0
2022-11-07,SMS,5,0
2022-11-14,SMS,5,0
2022-11-21,SMS,5,0
2022-11-28,SMS,5,0
2022-12-05,SMS,5,0
2022-12-12,SMS,6,1
2022-12-19,SMS,7,1
2022-12-26,SMS,7,0
2023-01-02,SMS,7,0
2023-01-09,SMS,7,0